127.0.0.1 - - [25/Nov/2015:08:47:53 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [25/Nov/2015:08:48:02 +0530] "GET /FrontPageDesignPrj/ HTTP/1.1" 404 989
0:0:0:0:0:0:0:1 - - [25/Nov/2015:08:48:12 +0530] "GET /FrontPageDesignPrj/index.jsp HTTP/1.1" 200 5569
0:0:0:0:0:0:0:1 - - [25/Nov/2015:08:48:12 +0530] "GET /FrontPageDesignPrj/mystyle.css HTTP/1.1" 200 602
0:0:0:0:0:0:0:1 - - [25/Nov/2015:08:48:12 +0530] "GET /FrontPageDesignPrj/images/signup.png HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [25/Nov/2015:08:48:12 +0530] "GET /FrontPageDesignPrj/images/amarillo.png HTTP/1.1" 200 44785
0:0:0:0:0:0:0:1 - - [25/Nov/2015:08:49:12 +0530] "GET /FrontPageDesignPrj/index.jsp HTTP/1.1" 200 5569
0:0:0:0:0:0:0:1 - - [25/Nov/2015:08:49:12 +0530] "GET /FrontPageDesignPrj/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2015:08:49:12 +0530] "GET /FrontPageDesignPrj/images/amarillo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2015:08:49:12 +0530] "GET /FrontPageDesignPrj/images/signup.png HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [25/Nov/2015:08:50:11 +0530] "GET /FrontPageDesignPrj/index.jsp HTTP/1.1" 200 5569
0:0:0:0:0:0:0:1 - - [25/Nov/2015:08:50:11 +0530] "GET /FrontPageDesignPrj/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2015:08:50:11 +0530] "GET /FrontPageDesignPrj/images/amarillo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2015:08:50:11 +0530] "GET /FrontPageDesignPrj/images/signup.png HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [25/Nov/2015:08:51:10 +0530] "GET /FrontPageDesignPrj/index.jsp HTTP/1.1" 200 5569
0:0:0:0:0:0:0:1 - - [25/Nov/2015:08:51:10 +0530] "GET /FrontPageDesignPrj/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2015:08:51:10 +0530] "GET /FrontPageDesignPrj/images/amarillo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2015:08:51:10 +0530] "GET /FrontPageDesignPrj/images/signup.png HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [25/Nov/2015:08:52:09 +0530] "GET /FrontPageDesignPrj/index.jsp HTTP/1.1" 200 5568
0:0:0:0:0:0:0:1 - - [25/Nov/2015:08:52:09 +0530] "GET /FrontPageDesignPrj/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2015:08:52:09 +0530] "GET /FrontPageDesignPrj/images/amarillo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2015:08:52:09 +0530] "GET /FrontPageDesignPrj/images/signup.png HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [25/Nov/2015:08:53:11 +0530] "GET /FrontPageDesignPrj/index.jsp HTTP/1.1" 200 5598
0:0:0:0:0:0:0:1 - - [25/Nov/2015:08:53:11 +0530] "GET /FrontPageDesignPrj/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2015:08:53:11 +0530] "GET /FrontPageDesignPrj/images/amarillo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2015:08:53:11 +0530] "GET /FrontPageDesignPrj/images/signup.png HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [25/Nov/2015:08:54:10 +0530] "GET /FrontPageDesignPrj/index.jsp HTTP/1.1" 200 5631
0:0:0:0:0:0:0:1 - - [25/Nov/2015:08:54:10 +0530] "GET /FrontPageDesignPrj/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2015:08:54:10 +0530] "GET /FrontPageDesignPrj/images/amarillo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2015:08:54:10 +0530] "GET /FrontPageDesignPrj/images/signup.png HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [25/Nov/2015:08:54:37 +0530] "GET /FrontPageDesignPrj/index.jsp HTTP/1.1" 200 5631
0:0:0:0:0:0:0:1 - - [25/Nov/2015:08:54:37 +0530] "GET /FrontPageDesignPrj/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2015:08:54:37 +0530] "GET /FrontPageDesignPrj/images/amarillo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2015:08:54:37 +0530] "GET /FrontPageDesignPrj/images/signup.png HTTP/1.1" 404 1023
